Apollo's Moon Shot,documentary
Carmen Sandiego,animation
Cleopatra in Space,animation
Dead to Me,drama
Doctor Who,science fiction & fantasy
Everything's Gonna Be Okay,drama
High Fidelity,comedy
Insecure,comedy
Looney Tunes Cartoons,animation
Marvel's Agents of S.H.I.E.L.D.,action & adventure
Mrs. America,drama
Never Have I Ever,comedy
One Day at a Time,comedy
Parks and Recreation,comedy
Star Trek: Picard,science fiction & fantasy
The 100,science fiction & fantasy
The Baby-Sitters Club,drama
The Capture,mystery & suspense
The Dragon Prince,animation
The Last Dance,documentary
The Twilight Zone,mystery & suspense
The Umbrella Academy,action & adventure
Tiger King,documentary
Unbreakable Kimmy Schmidt,comedy
Unsolved Mysteries,documentary
Where's Waldo,animation
Zoey's Extraordinary Playlist,drama